climate change;12.7
climate policy;12.19
global warming;8.08
climate finance;7.08
global climate;6.2
climate model;4.3
climate fund;4.22
climate data;3.89
environmental problems;3.77
climate research;3.65
climate science;3.6
financing climate;3.1
climate initiatives;2.84
climate projections;2.64
global environmental;2.5
climate action;2.49
environmental change;2.43
climate response;2.38
climate risks;2.32
ipcc fourth;2.28
climate priorities;2.25
climate funding;2.24
climate issues;2.16
unfccc 2015b;2.15
environmental policymaking;2.07
annual global;2.02
studies global;1.96
climate development;1.95
climate crisis;1.87
recent studies;1.77
climate plan;1.75
policymakers introduction;1.74
fourth assessment;1.68
global greenhouse;1.67
emissions 2020;1.67
climate shocks;1.65
climate services;1.6
climate trends;1.55
climate projects;1.53
climate negotiations;1.45
climate evaluation;1.45
climate agenda;1.45
policies environmental;1.44
2020 growth;1.42
studies climate;1.41
warming globally;1.4
climate variables;1.35
climate change9;1.34
2019 unfccc;1.33
climate mitigation;1.32
2020 increase;1.29
social environmental;1.25
2019 heatwaves;1.25
2019 pandemic;1.24
workplan 20202025;1.24
meetings 2019;1.2
climatemitigation policies;1.19
climate 2019;1.19
2019 ipcc;1.15
increased droughts;1.09
climate threats;1.07
innovation environmental;1.05
climate forecasts;1.05
sustainability analysis;1.05
2020 oxfam;1.05
org climatechange;1.04
climate conferences;1.03
ipcc 2014b;1.02
reductions emissions;1.0
2013 annual;1.0
