climate change;48.63
global warming;33.12
climate crisis;30.06
barack obama;21.27
climate action;14.09
site wednesday;12.33
severe drought;10.83
climate scientists;10.49
doing obama;9.29
climate policies;8.31
donald trump;7.5
coronavirus pandemic;7.31
climate emergency;6.35
fossil fuel;6.2
climate activists;6.15
monday june;5.83
brexit;5.57
coronavirus cover;5.3
mars 2021;5.28
friday december;5.25
recovery coronavirus;5.15
emissions 2020;4.92
online coronavirus;4.84
coronavirus outbreak;4.71
obama later;4.71
obama year;4.68
climate finance;4.63
obama having;4.6
trump president;4.58
droughts floods;4.54
crucial climate;4.2
friday november;4.18
new coal;4.09
global climate;4.06
thursday april;4.04
2013 climate;4.01
emissions coronavirus;3.93
uk tuesday;3.46
maine lobstermen;3.46
global economy;3.43
climate physics;3.34
tuesday;3.31
heavily coal;3.31
coronavirus recession;3.28
environmental crisis;3.25
2021 coronavirus;3.19
thursday thunderstorms;3.15
climate talks;2.97
trump administration;2.96
failing climate;2.87
renewable energy;2.86
climate expert;2.79
largest coal;2.77
thursday;2.73
cut emissions;2.65
drought leading;2.64
global coal;2.6
decades wildfires;2.56
cop21 paris;2.53
wednesday july;2.5
environmental destruction;2.49
recent sandstorms;2.47
research climateworks;2.47
solar power;2.44
cutting deforestation;2.42
climate tuesday;2.34
june 2017;2.31
climate campaigner;2.28
hurricane;2.27
climate wars;2.21
climate risk;2.21
exxon mobil;2.21
energy poverty;2.2
hurricanes;2.2
climate refugees;2.18
global heating;2.17
renewables 2030;2.17
global pandemic;2.17
obama administration;2.16
coronavirus days;2.13
climate breakdown;2.11
new fossil;2.11
droughts hit;2.11
climate negotiations;2.09
paris december;2.07
paris friday;2.07
december 2015;2.05
thursday march;2.05
accelerated deforestation;2.05
nations droughts;2.04
2011 drought;2.02
2021 05;2.02
climate conference;2.0
severe floods;1.98
emissions deforestation;1.95
paris summit;1.94
major flooding;1.93
climate impact;1.89
carbon tax;1.88
death heat;1.88
