global warming;49.27
climate change;40.6
news thursday;18.01
barack obama;15.14
donald trump;14.01
brexit;10.71
fossil fuels;8.17
friday june;7.78
renewable energy;6.88
uk tuesday;6.75
climate scientists;6.42
saturday november;5.8
thursday july;5.78
2021;5.75
thursday december;5.67
tuesday;5.41
thursday;4.96
thursday march;4.88
saturday april;4.83
latest climate;4.79
obama says;4.26
trump presidency;4.19
climate policy;4.16
2010 climategate;3.82
regards obama;3.82
business thursday;3.81
glaciers melting;3.55
nobel prize;3.48
power renewables;3.46
june 30;3.2
nuclear power;3.07
climate crisis;2.99
world billionaires;2.98
melting arctic;2.92
global climate;2.87
hurricanes;2.86
developing renewables;2.84
june 10;2.82
new nuclear;2.76
friday february;2.75
2030 2035;2.62
intense rainfall;2.58
coronavirus pandemic;2.54
himalayan glaciers;2.52
friday august;2.5
droughts frequent;2.39
saturday october;2.37
impact coronavirus;2.37
climate initiative;2.37
electric renewable;2.35
moratorium;2.34
april 14;2.33
june summer;2.32
solar farms;2.31
droughts extreme;2.27
coal decades;2.21
climatechange sceptics;2.2
science climate;2.19
cut emissions;2.13
floods droughts;2.11
february 2021;2.09
climate fight;2.08
2025;2.07
trump america;2.07
emissions 2030;2.05
2017 trump;2.05
new drought;2.03
climbed everest;1.99
year wildfires;1.9
fracking decade;1.86
new coal;1.82
friday january;1.81
ancient antarctic;1.79
fields coronavirus;1.73
recovery coronavirus;1.72
arctic ocean;1.71
renewables policy;1.67
generation renewable;1.63
exxon mobil;1.63
climate conference;1.61
begins june;1.61
mid june;1.6
fossil industry;1.59
climate activists;1.58
environmental activists;1.58
new president;1.58
coronavirus boris;1.57
obama climate;1.55
increasing floods;1.54
2021 644;1.54
exxonmobil giant;1.54
trump does;1.54
new renewable;1.49
climate emergency;1.47
climate agreement;1.47
devastating flooding;1.47
president donald;1.46
june 2017;1.46
trump climate;1.44
exxonmobil investigation;1.43
