addressing climate;27.95
renewable energy;26.93
kyoto protocol;18.79
climate policy;17.58
global emissions;16.8
support oxfam;14.23
renewables ensuring;13.31
climate agreement;12.48
renewables option;12.3
climate change;11.8
projected renewable;10.99
renewables reviewed;10.67
climate legislation;10.24
increase renewable;10.12
ambitious emissions;9.93
impacts climate;9.89
emissions 2030;9.85
climate crisis;9.75
emissions reductions;9.04
protect climate;8.96
oxfam america;8.36
ensuring emissions;8.36
climate negotiations;8.23
globally wwf;8.23
role greenpeace;8.19
world biodiversity;8.08
recycling budgets;8.08
climate efforts;7.86
2010 greenpeace;7.64
oxfam programmes;7.55
fight climate;7.5
necessarily oxfam;7.26
climate action;7.23
stop climate;7.11
success greenpeace;7.05
achieve climate;6.92
emissions projected;6.89
oxfam aims;6.83
mitigation climate;6.8
sustainable energy;6.48
thanks greenpeace;6.39
oxfam volunteer;6.32
consumption renewables;6.31
emissions increasing;6.15
climate justice;5.95
investment renewables;5.87
impact greenpeace;5.82
turning climate;5.71
resilient sustainable;5.7
climate goals;5.35
adapt climate;5.26
total renewable;5.11
support biodiversity;5.06
credible renewable;5.02
kyoto steps;4.82
environmental justice;4.78
paris agreement;4.73
harms emissions;4.66
climate energy;4.57
impact renewables;4.55
climate initiative;4.52
promoting sustainable;4.49
oil companies;4.35
rates recycling;4.32
canadian logging;4.28
emissions goals;4.12
fisheries response;4.06
biodiversity highlighting;4.06
funding oxfam;4.05
fisheries dynamics;4.03
climate political;4.02
impacts oxfam;4.02
climate resilience;3.98
2050 renewable;3.98
climate activists;3.92
organisations oxfam;3.9
2020 oxfam;3.87
business oil;3.87
budget emissions;3.81
nature resilience;3.72
build resilience;3.71
sustainable recycling;3.67
responsibility oxfam;3.66
limiting warming;3.63
fuel emissions;3.5
emissions countries;3.37
breakthroughs possible;3.27
issue climate;3.24
climate harms;3.17
court environmental;3.16
sustainable soya;3.16
global warming;3.13
exxonmobil planned;3.13
logging climate;3.07
environmental litigation;3.04
emissions including;3.0
donating oxfam;2.88
climate movement;2.8
africa energy;2.76
oxfam campaigning;2.76
