climate change;58.85
climate;45.79
carbon emissions;44.94
climate crisis;40.12
global warming;36.14
cut emissions;32.59
sustainable;29.63
climate talks;24.15
national emissions;21.47
climate deal;19.97
climate policy;19.63
renewable energy;18.48
dioxide emissions;16.53
emissions energy;16.15
emissions context;15.94
emissions transforming;15.59
consider emissions;15.01
emissions ask;14.68
emissions 2050;14.3
emissions approaching;13.48
paris climate;13.24
emissions comes;13.24
emissions support;13.21
paris agreement;13.03
turnbull;12.77
protests;12.54
tackle climate;12.51
climate action;12.11
emissions targets;11.46
emissions nearly;11.12
fight climate;10.92
emissions unprecedented;10.76
emissions recent;10.62
warming occur;10.48
sustainability help;10.31
emissions establish;10.27
climate summit;10.12
impacts climate;9.89
levels emissions;9.87
agreement climate;9.79
understating emissions;9.74
humanity emissions;8.96
emissions policies;8.91
aviation emissions;8.89
pandemic;8.85
corporate sustainability;8.78
emissions permanently;8.78
emissions net;8.77
climate risk;8.75
weather warming;8.65
climate goals;8.54
fossil fuels;8.52
global temperatures;8.52
paris talks;8.51
sustainability practice;8.51
coal industry;8.47
current warming;8.39
emissions free;8.38
warming faster;8.31
warming says;8.3
measure sustainability;8.14
renewable solutions;8.13
warming available;8.04
exxon;8.0
climate activists;7.97
sustainability necessary;7.95
global coal;7.82
emergencies climate;7.82
meeting climate;7.81
climate accord;7.79
emissions alternatives;7.73
use coal;7.67
unfortunately warming;7.48
warming despite;7.42
warming driven;7.39
headed warming;7.39
warming excess;7.38
paris;7.37
refugees;7.29
deal paris;7.28
support renewable;7.18
guardian uk;7.09
emissions restoring;7.08
struggle sustainability;6.92
coal power;6.86
deny climate;6.82
climate energy;6.72
2050;6.69
clear sustainability;6.67
impact sustainability;6.59
uk climate;6.5
generated renewable;6.45
carbon economy;6.35
global sustainability;6.26
world floods;6.01
climate negotiators;5.85
climate justice;5.79
brands purpose;5.68
triggering climate;5.67
government climate;5.65
