climate change;106.36
global warming;105.31
climate;81.71
carbon emissions;45.35
climate policy;37.02
warming appears;35.08
limit emissions;33.52
climate scientists;32.18
drought;31.96
emissions reductions;30.12
climate crisis;30.1
effects climate;30.07
kyoto protocol;29.61
climate treaty;26.98
emissions sensible;26.5
climate deal;25.44
warming bad;24.75
combating climate;24.57
warming using;24.11
climate talks;22.47
warming referred;22.41
suggested warming;22.34
warming likely;22.0
emissions policy;21.9
warming engaged;21.83
warming demanded;21.28
degrees warming;21.22
silly warming;19.66
kyoto;19.64
renewable energy;19.22
warming welcome;19.17
continued emissions;19.12
warming especially;19.1
climate risks;19.05
warming trend;18.47
driven warming;18.24
issue climate;17.64
rapid warming;17.34
warming humans;17.29
overall warming;17.2
climate legislation;17.1
consequences warming;16.92
international climate;16.84
climate research;16.84
warming debate;16.51
discussed climate;16.39
meeting climate;16.12
climate accord;15.93
climate energy;15.62
debate climate;15.59
low emissions;15.27
coal mining;14.6
emissions energy;13.65
treat climate;12.87
agreement climate;12.5
tornadoes occurring;12.4
warming agreement;12.24
energy policy;11.95
shifting climatic;11.9
greenhouse gas;11.84
global temperatures;11.17
dioxide emissions;10.89
climate reports;10.73
global treaty;10.67
approach climate;10.58
science climate;10.56
threat climate;10.17
mccain;10.05
responding climate;9.98
warns climate;9.76
proposals climate;9.76
pope francis;9.66
new climate;9.61
warming government;9.31
climate summit;9.19
american emissions;9.19
emissions giving;9.18
adapt climate;9.17
weather global;9.07
climate activists;9.02
protesters;8.97
negotiations;8.62
al gore;8.54
agreement copenhagen;8.41
reducing greenhouse;8.36
warming report;8.32
copenhagen meeting;8.22
greenpeace;8.15
pelosi;8.09
energy legislation;8.06
climate skeptics;8.03
climate denial;8.02
emissions targets;7.97
responsibility emissions;7.79
emissions heat;7.73
warming invasion;7.68
meeting emissions;7.55
climate reporter;7.52
obama administration;7.51
climate initiatives;7.45
