global warming;45.76
climate change;40.76
renewable energy;36.61
carbon emissions;31.86
cut emissions;25.25
climate;24.67
renewables doubt;19.3
warming confronted;17.99
buy renewable;17.5
affected warming;17.23
renewables helps;17.07
extending emissions;16.5
renewable sources;15.89
emissions world;15.82
climatechange;15.72
warming cause;15.09
warming urgently;14.93
warming stay;14.81
realising renewables;14.34
low emissions;14.18
daily telegraph;14.12
seeing warming;14.1
warming long;14.1
coal;14.07
warming unfortunately;13.91
emissions green;13.84
cover emissions;13.74
finds warming;13.57
overall warming;13.56
renewable alternatives;13.55
emissions continued;13.44
emissions effort;13.09
fracking;12.81
emissions tomorrow;12.19
emissions entirely;11.9
eu emissions;11.8
protesters;11.52
emissions create;11.24
annual emissions;11.06
sustainable;10.97
targets renewable;10.9
emissions debating;10.89
levels emissions;10.87
exxon;10.85
said emissions;10.83
emissions lot;10.8
emissions respectively;10.45
moving emissions;10.39
climategate;10.32
emissions net;10.0
review emissions;9.99
emissions heat;9.95
emissions series;9.94
technology emissions;9.89
telegraph london;9.44
disasters;9.25
energy policy;8.72
fossil fuels;8.68
plans renewable;8.37
importance renewable;8.36
greenhouse gas;8.35
met renewable;8.35
renewables sector;8.22
islands;8.07
warming policy;7.99
global temperatures;7.87
britain energy;7.4
pope;7.28
entirely renewable;7.25
money renewable;7.14
complex renewable;6.89
cancun;6.76
extinction;6.61
brexit;6.52
carbon price;6.41
climate agreement;6.21
renewables companies;6.1
temperatures rise;6.03
floods hit;5.94
international climate;5.8
carbon trading;5.8
warming trend;5.76
climate scientists;5.7
american renewables;5.55
british weather;5.53
effects climate;5.35
tackling climate;5.34
miliband;5.19
rate renewable;5.12
future energy;5.09
uk climate;5.07
change sustainability;5.03
renewables government;5.02
green energy;5.01
climate plans;4.91
threat climate;4.87
prince;4.73
efficiency renewables;4.67
potential floods;4.67
climate crisis;4.62
